"財政部電子發票整合服務平台 消費明細下載"
表頭=M,發票日期,商店統編,商店店名,發票號碼,總金額
表身=D,發票號碼,小計,品名
M,2025/01/21 23:08,96947549,momo購物網,XX49618073,639
D,XX49618073,409,筆記本
D,XX49618073,230,咖啡豆 一磅
M,2025/01/22 06:31,22555003,全家便利商店,DY25395296,162
D,DY25395296,76,舒潔面紙
D,DY25395296,86,御便當 雞腿
M,2025/01/22 07:00,89398402,7-ELEVEN,FF22001597,95
D,FF22001597,38,大熱狗
D,FF22001597,57,拿鐵 大杯
M,2025/01/23 11:51,23091152,鬍鬚張,CB34042026,291
D,CB34042026,173,起司漢堡
D,CB34042026,118,紅茶 大
M,2025/01/23 12:26,89398402,7-ELEVEN,EP96398170,100
D,EP96398170,45,舒潔面紙
D,EP96398170,55,國民便當
M,2025/01/23 18:04,89398402,7-ELEVEN,MT83243107,296
D,MT83243107,171,茶葉蛋
D,MT83243107,125,思樂冰
M,2025/01/23 21:25,54313581,小北百貨,XY31367844,558
D,XY31367844,219,燈泡 兩入
D,XY31367844,339,燈泡 兩入
M,2025/01/23 23:53,89398402,7-ELEVEN,EA72121180,84
D,EA72121180,84,礦泉水 600ml
M,2025/01/24 06:53,23091152,鬍鬚張,SE02593623,165
D,SE02593623,165,牛肉麵
M,2025/01/24 13:43,22555003,全家便利商店,AH68652124,118
D,AH68652124,75,茶葉蛋
D,AH68652124,43,光泉鮮乳 936ml
M,2025/01/25 08:41,89398402,7-ELEVEN,LV19209231,28
D,LV19209231,18,起司熱狗堡
D,LV19209231,10,拿鐵 大杯
M,2025/01/25 20:40,80003429,美廉社,UB29173378,138
D,UB29173378,138,五月花衛生紙
M,2025/01/27 13:44,89398402,7-ELEVEN,KC52848520,28
D,KC52848520,15,國民便當
D,KC52848520,13,無糖豆漿
M,2025/01/27 16:16,03707901,台灣中油,GU99103636,1404
D,GU99103636,710,95無鉛汽油 25公升
D,GU99103636,694,92無鉛汽油 30公升
M,2025/01/28 05:57,96947549,momo購物網,YD44199342,804
D,YD44199342,804,無線滑鼠
M,2025/01/28 15:59,96979933,全聯福利中心,VZ78543881,813
D,VZ78543881,813,雞蛋 十入
M,2025/01/28 18:19,03707901,台灣中油,LC02208188,412
D,LC02208188,412,車資
M,2025/01/29 05:29,70766330,OK MART,NH63838273,96
D,NH63838273,96,御便當 雞腿
M,2025/01/29 13:30,89398402,7-ELEVEN,YP70045414,45
D,YP70045414,22,維力炸醬麵
D,YP70045414,23,義美小泡芙
M,2025/01/29 15:18,96947549,momo購物網,DZ51851099,1830
D,DZ51851099,627,無線滑鼠
D,DZ51851099,760,咖啡豆 一磅
D,DZ51851099,443,無線滑鼠
M,2025/01/29 21:13,89398402,7-ELEVEN,YA73195530,77
D,YA73195530,77,國民便當
M,2025/01/31 16:13,89398402,7-ELEVEN,DM12980366,364
D,DM12980366,364,礦泉水 600ml
M,2025/02/02 07:23,22555003,全家便利商店,ZD68564960,142
D,ZD68564960,64,關東煮 綜合
D,ZD68564960,78,御飯糰 鮪魚
M,2025/02/04 13:35,96979933,全聯福利中心,RU88248765,250
D,RU88248765,135,洗衣精 補充包
D,RU88248765,115,蘋果 四入
M,2025/02/04 20:16,89398402,7-ELEVEN,UV18724816,260
D,UV18724816,260,維力炸醬麵
M,2025/02/04 21:35,89398402,7-ELEVEN,MZ09766546,92
D,MZ09766546,92,維力炸醬麵
M,2025/02/04 21:55,27746179,清心福全,NM08346630,53
D,NM08346630,53,定食 鮭魚
M,2025/02/05 20:31,89398402,7-ELEVEN,ER90944203,186
D,ER90944203,103,茶葉蛋
D,ER90944203,83,思樂冰
M,2025/02/06 18:50,80003429,美廉社,KD30963164,989
D,KD30963164,383,雞胸肉 300g
D,KD30963164,606,罐頭鮪魚
M,2025/02/07 07:43,20001233,龜記茗品,AP76700707,74
D,AP76700707,27,定食 鮭魚
D,AP76700707,47,大杯拿鐵
M,2025/02/07 11:12,20003288,亞洲樂器,XT88391394,1710
D,XT88391394,690,譜架
D,XT88391394,1020,吉他弦
M,2025/02/07 17:55,20001507,85度C,EY81831916,163
D,EY81831916,163,滷肉飯
M,2025/02/08 10:59,22555003,全家便利商店,XD98738971,152
D,XD98738971,91,起司熱狗堡
D,XD98738971,61,冰美式 中杯
M,2025/02/08 15:47,89398402,7-ELEVEN,CP31973135,50
D,CP31973135,50,起司熱狗堡
M,2025/02/08 16:09,89398413,屈臣氏,RF89822878,1467
D,RF89822878,538,沐浴乳
D,RF89822878,929,沐浴乳
M,2025/02/09 12:42,22555003,全家便利商店,HN21846000,188
D,HN21846000,188,大熱狗
M,2025/02/09 13:27,00000015,麥當勞,DM02864185,180
D,DM02864185,180,蔬菜蛋餅
M,2025/02/10 11:36,20001918,小林煎餅,JP32276491,191
D,JP32276491,69,蔬菜蛋餅
D,JP32276491,122,味噌湯
M,2025/02/10 16:22,89398402,7-ELEVEN,YA03838679,489
D,YA03838679,489,關東煮 綜合
M,2025/02/10 17:39,89398402,7-ELEVEN,FS87622520,134
D,FS87622520,78,中杯美式
D,FS87622520,56,關東煮 綜合
M,2025/02/10 18:24,84149961,星巴克,RC02439362,184
D,RC02439362,184,薯條 中
M,2025/02/10 21:31,24707801,蝦皮購物,CJ87919808,416
D,CJ87919808,196,無線滑鼠
D,CJ87919808,220,藍牙耳機
M,2025/02/11 18:02,89398402,7-ELEVEN,PB72253578,65
D,PB72253578,26,拿鐵 大杯
D,PB72253578,39,御便當 雞腿
M,2025/02/12 14:15,89398402,7-ELEVEN,KX74225597,287
D,KX74225597,123,涼麵
D,KX74225597,164,起司熱狗堡
M,2025/02/12 19:25,89398402,7-ELEVEN,VU70195549,265
D,VU70195549,265,關東煮 綜合
M,2025/02/12 20:51,80003429,美廉社,GA92864554,289
D,GA92864554,161,高麗菜
D,GA92864554,128,雞蛋 十入
M,2025/02/13 08:19,23091152,鬍鬚張,XE58765625,197
D,XE58765625,107,手沖耶加雪菲
D,XE58765625,90,雞腿便當
M,2025/02/13 10:08,89398402,7-ELEVEN,MB84519994,82
D,MB84519994,82,礦泉水 600ml
M,2025/02/13 15:05,54381286,路易莎咖啡,ZN45883422,113
D,ZN45883422,113,定食 鮭魚
M,2025/02/14 14:19,22555003,全家便利商店,UK09231160,228
D,UK09231160,228,維力炸醬麵
M,2025/02/14 15:21,89398402,7-ELEVEN,HQ48350400,52
D,HQ48350400,26,義美小泡芙
D,HQ48350400,26,舒潔面紙
M,2025/02/14 20:22,89398402,7-ELEVEN,NB34184876,68
D,NB34184876,24,中杯美式
D,NB34184876,44,無糖豆漿
M,2025/02/15 19:25,89398402,7-ELEVEN,AQ57254734,70
D,AQ57254734,70,涼麵
M,2025/02/15 20:43,03707901,台灣中油,EZ79975658,769
D,EZ79975658,317,悠遊卡加值
D,EZ79975658,452,洗車 精緻
M,2025/02/16 19:25,89398402,7-ELEVEN,VH79063137,91
D,VH79063137,46,光泉鮮乳 936ml
D,VH79063137,45,礦泉水 600ml
M,2025/02/16 19:44,54381286,路易莎咖啡,LK70802968,90
D,LK70802968,90,起司漢堡
M,2025/02/16 22:15,89398402,7-ELEVEN,CF26871620,26
D,CF26871620,11,義美小泡芙
D,CF26871620,15,冰美式 中杯
M,2025/02/17 16:05,96979933,全聯福利中心,VX70626274,1098
D,VX70626274,286,高麗菜
D,VX70626274,309,五月花衛生紙
D,VX70626274,503,義大利麵 500g
M,2025/02/17 18:07,97162640,家樂福,WK26401712,1128
D,WK26401712,229,雞蛋 十入
D,WK26401712,327,洗衣精 補充包
D,WK26401712,308,沙拉油 2L
D,WK26401712,264,冷凍水餃
M,2025/02/18 12:51,22555003,全家便利商店,UX79544810,238
D,UX79544810,238,中杯美式
M,2025/02/20 12:27,54313581,小北百貨,ZQ42510693,233
D,ZQ42510693,122,收納籃
D,ZQ42510693,111,掃把組
M,2025/02/21 07:08,80328164,誠品線上,YR72540590,1682
D,YR72540590,664,文具組
D,YR72540590,508,香氛蠟燭
D,YR72540590,510,文具組
M,2025/02/22 09:51,22555003,全家便利商店,GG32499752,72
D,GG32499752,72,起司熱狗堡
M,2025/02/22 14:01,24707801,蝦皮購物,AH13003499,983
D,AH13003499,352,床包組 雙人
D,AH13003499,374,咖啡豆 一磅
D,AH13003499,257,空氣清淨機濾網
M,2025/02/23 17:31,96979933,全聯福利中心,WR67711616,1030
D,WR67711616,249,義大利麵 500g
D,WR67711616,375,五月花衛生紙
D,WR67711616,406,高麗菜
M,2025/02/24 07:41,89398402,7-ELEVEN,DB30781145,221
D,DB30781145,109,御飯糰 鮪魚
D,DB30781145,112,御便當 雞腿
M,2025/02/24 10:28,96979934,中華電信,EE59810582,916
D,EE59810582,293,國際漫遊加購
D,EE59810582,246,行動電話月租費
D,EE59810582,242,國際漫遊加購
D,EE59810582,135,行動電話月租費
M,2025/02/25 13:08,89398413,屈臣氏,DC89091661,175
D,DC89091661,175,維他命C 60錠
M,2025/02/25 18:02,03707901,台灣中油,LY88849860,594
D,LY88849860,594,柴油 40公升
M,2025/02/27 15:05,03707901,台灣中油,GR28118340,914
D,GR28118340,313,92無鉛汽油 30公升
D,GR28118340,244,92無鉛汽油 30公升
D,GR28118340,357,95無鉛汽油 25公升
M,2025/02/28 09:09,89398402,7-ELEVEN,JC90307550,51
D,JC90307550,51,茶葉蛋
M,2025/02/28 20:38,16606106,PChome線上購物,MY59366481,3782
D,MY59366481,1260,書籍 一本
D,MY59366481,1066,筆記本
D,MY59366481,1456,空氣清淨機濾網
M,2025/03/01 14:10,96979933,全聯福利中心,ZQ56909424,658
D,ZQ56909424,331,豬絞肉
D,ZQ56909424,327,沙拉油 2L
M,2025/03/01 21:27,20001644,大三元餐廳,RJ32157143,2642
D,RJ32157143,724,味噌湯
D,RJ32157143,1015,紅茶 大
D,RJ32157143,903,味噌湯
M,2025/03/02 07:45,70766330,OK MART,AY04745660,55
D,AY04745660,55,維力炸醬麵
M,2025/03/02 07:46,53016675,八方雲集,VA29292917,106
D,VA29292917,106,滷肉飯
M,2025/03/02 14:59,96979933,全聯福利中心,NB59441152,933
D,NB59441152,576,義大利麵 500g
D,NB59441152,357,蘋果 四入
M,2025/03/02 20:34,53049403,台灣高鐵,TL71007991,1518
D,TL71007991,652,悠遊卡加值
D,TL71007991,322,95無鉛汽油 25公升
D,TL71007991,544,95無鉛汽油 25公升
M,2025/03/03 13:29,84149961,星巴克,CT40358875,251
D,CT40358875,128,紅茶 大
D,CT40358875,123,雞腿便當
M,2025/03/03 18:26,89398402,7-ELEVEN,YF12159127,95
D,YF12159127,95,關東煮 綜合
M,2025/03/04 07:40,84149961,星巴克,JP00522969,203
D,JP00522969,203,炸雞三塊
M,2025/03/05 09:47,89398402,7-ELEVEN,MW43843757,123
D,MW43843757,123,無糖豆漿
M,2025/03/05 13:10,20002877,寶島眼鏡,NS06621841,4309
D,NS06621841,1090,鏡片 一副
D,NS06621841,1688,鏡框
D,NS06621841,1531,鏡框
M,2025/03/05 18:15,86517048,萊爾富便利商店,SN62514142,76
D,SN62514142,76,御握 鮭魚
M,2025/03/06 14:19,03707901,台灣中油,YT80625471,792
D,YT80625471,491,95無鉛汽油 25公升
D,YT80625471,301,92無鉛汽油 30公升
M,2025/03/07 08:08,86517048,萊爾富便利商店,MD59312374,68
D,MD59312374,68,關東煮 綜合
M,2025/03/07 12:13,20000274,春水堂,JU98049250,472
D,JU98049250,472,味噌湯
M,2025/03/07 12:40,53016675,八方雲集,XF68462023,147
D,XF68462023,82,手沖耶加雪菲
D,XF68462023,65,紅茶 大
M,2025/03/09 20:34,22555003,全家便利商店,XB58582483,83
D,XB58582483,83,中杯美式
M,2025/03/10 12:06,11768704,摩斯漢堡,HL06562153,254
D,HL06562153,162,定食 鮭魚
D,HL06562153,92,手沖耶加雪菲
M,2025/03/10 21:20,22555003,全家便利商店,BS98786026,58
D,BS98786026,58,御便當 雞腿
M,2025/03/11 09:15,89398402,7-ELEVEN,VG30263961,387
D,VG30263961,162,起司熱狗堡
D,VG30263961,225,維力炸醬麵
M,2025/03/11 19:15,70766330,OK MART,BB97572879,28
D,BB97572879,16,中杯美式
D,BB97572879,12,御飯糰 鮪魚
M,2025/03/11 19:57,00000015,麥當勞,JJ76161934,161
D,JJ76161934,75,紅茶 大
D,JJ76161934,86,蔬菜蛋餅
M,2025/03/12 17:19,28486815,台灣大車隊,LF86854949,146
D,LF86854949,146,洗車 精緻
M,2025/03/13 11:05,89398402,7-ELEVEN,SE74389960,110
D,SE74389960,110,無糖豆漿
M,2025/03/13 13:23,96979933,全聯福利中心,LR46688589,915
D,LR46688589,481,洗髮精
D,LR46688589,434,蘋果 四入
M,2025/03/13 19:03,89398402,7-ELEVEN,EL14759392,48
D,EL14759392,19,冰美式 中杯
D,EL14759392,29,義美小泡芙
M,2025/03/13 19:45,54381286,路易莎咖啡,FY31132857,66
D,FY31132857,66,紅茶 大
M,2025/03/14 11:50,89398402,7-ELEVEN,GU51858879,57
D,GU51858879,57,茶葉蛋
M,2025/03/15 15:34,25017492,50嵐,GN94048611,73
D,GN94048611,73,炸雞三塊
M,2025/03/15 18:56,89398402,7-ELEVEN,XC18682327,263
D,XC18682327,123,涼麵
D,XC18682327,140,御飯糰 鮪魚
M,2025/03/15 18:57,97162640,家樂福,EC15613237,2973
D,EC15613237,791,罐頭鮪魚
D,EC15613237,582,五月花衛生紙
D,EC15613237,582,五月花衛生紙
D,EC15613237,1018,雞蛋 十入
M,2025/03/16 18:52,16729745,悠遊卡自動加值,HD89668475,508
D,HD89668475,210,悠遊卡加值
D,HD89668475,298,台北到台中 標準車廂
M,2025/03/16 19:38,89398402,7-ELEVEN,LH23107119,78
D,LH23107119,78,關東煮 綜合
M,2025/03/17 14:46,89398402,7-ELEVEN,YF87760990,131
D,YF87760990,131,義美小泡芙
M,2025/03/17 15:47,20000548,迷客夏,XY55481470,70
D,XY55481470,70,雞腿便當
M,2025/03/17 22:09,89398402,7-ELEVEN,YW91461404,34
D,YW91461404,34,舒潔面紙
M,2025/03/18 08:34,89398402,7-ELEVEN,UK57190521,151
D,UK57190521,151,關東煮 綜合
M,2025/03/18 10:15,20004795,全國加油站,NN22495652,852
D,NN22495652,852,92無鉛汽油 30公升
M,2025/03/18 16:35,89398402,7-ELEVEN,VX15511108,59
D,VX15511108,23,無糖豆漿
D,VX15511108,36,光泉鮮乳 936ml
M,2025/03/18 23:40,96947549,momo購物網,KY17210331,703
D,KY17210331,276,筆記本
D,KY17210331,427,USB-C 傳輸線
M,2025/03/20 11:27,20006165,西雅圖咖啡,CY82541017,118
D,CY82541017,69,雞腿便當
D,CY82541017,49,薯條 中
M,2025/03/20 17:24,54338109,日藥本舖,VL75837652,651
D,VL75837652,651,口罩 五十入
M,2025/03/21 13:47,89398402,7-ELEVEN,NZ06247602,79
D,NZ06247602,79,拿鐵 大杯
M,2025/03/21 17:25,20005343,台灣好行,RY76803898,152
D,RY76803898,152,95無鉛汽油 25公升
M,2025/03/21 19:12,22555003,全家便利商店,HD26558717,207
D,HD26558717,207,中杯美式
M,2025/03/23 10:30,89398402,7-ELEVEN,TK34640153,66
D,TK34640153,40,義美小泡芙
D,TK34640153,26,關東煮 白蘿蔔
M,2025/03/23 11:26,89398402,7-ELEVEN,JH17740214,123
D,JH17740214,123,維力炸醬麵
M,2025/03/23 18:51,24707801,蝦皮購物,UH60262352,455
D,UH60262352,455,無線滑鼠
M,2025/03/24 08:56,03707901,台灣中油,SV57735299,579
D,SV57735299,365,洗車 精緻
D,SV57735299,214,車資
M,2025/03/24 12:43,22555003,全家便利商店,RD89355104,15
D,RD89355104,15,維力炸醬麵
M,2025/03/24 18:02,84149972,康是美,AK89230694,228
D,AK89230694,97,感冒熱飲
D,AK89230694,131,感冒熱飲
M,2025/03/24 19:40,96979933,全聯福利中心,JW67445575,1134
D,JW67445575,392,義大利麵 500g
D,JW67445575,456,白米 3kg
D,JW67445575,286,雞胸肉 300g
M,2025/03/25 08:20,89398402,7-ELEVEN,JX61282594,38
D,JX61282594,23,關東煮 白蘿蔔
D,JX61282594,15,礦泉水 600ml
M,2025/03/26 06:20,89398402,7-ELEVEN,AB40871726,119
D,AB40871726,56,御便當 雞腿
D,AB40871726,63,舒潔面紙
M,2025/03/26 11:30,27746179,清心福全,KV54276485,70
D,KV54276485,33,大杯拿鐵
D,KV54276485,37,手沖耶加雪菲
M,2025/03/26 13:51,96979933,全聯福利中心,BT60380960,900
D,BT60380960,900,蘋果 四入
M,2025/03/26 18:39,84149972,康是美,MP28360891,585
D,MP28360891,258,洗髮精 750ml
D,MP28360891,327,衛生棉 夜用
M,2025/03/27 15:45,00000015,麥當勞,UK24312653,150
D,UK24312653,150,鍋貼 十個
M,2025/03/28 10:50,84149972,康是美,SV25134224,402
D,SV25134224,402,牙膏 兩入
M,2025/03/28 13:29,03707901,台灣中油,YA08449823,1284
D,YA08449823,540,台北到台中 標準車廂
D,YA08449823,298,台北到台中 標準車廂
D,YA08449823,446,車資
M,2025/03/28 17:17,28486815,台灣大車隊,SE48389990,376
D,SE48389990,376,洗車 精緻
M,2025/03/29 12:15,03731301,台灣鐵路管理局,WJ11975999,120
D,WJ11975999,120,95無鉛汽油 25公升
M,2025/03/30 17:28,24707801,蝦皮購物,VA76402713,533
D,VA76402713,303,筆記本
D,VA76402713,230,床包組 雙人
M,2025/03/30 20:17,96979933,全聯福利中心,RM94132166,1103
D,RM94132166,352,雞胸肉 300g
D,RM94132166,185,冷凍水餃
D,RM94132166,236,洗衣精 補充包
D,RM94132166,330,豬絞肉
M,2025/03/31 07:04,89398402,7-ELEVEN,XG98783951,43
D,XG98783951,22,關東煮 綜合
D,XG98783951,21,國民便當
M,2025/03/31 08:52,89398402,7-ELEVEN,GS61272974,91
D,GS61272974,53,茶葉蛋
D,GS61272974,38,中杯美式
M,2025/03/31 11:25,96979933,全聯福利中心,HL37671103,486
D,HL37671103,308,洗衣精 補充包
D,HL37671103,178,雞蛋 十入
M,2025/03/31 17:37,53049403,台灣高鐵,ZP78262477,1635
D,ZP78262477,556,洗車 精緻
D,ZP78262477,420,柴油 40公升
D,ZP78262477,659,台北到台中 標準車廂
M,2025/03/31 19:37,89398402,7-ELEVEN,NH34039564,119
D,NH34039564,119,光泉鮮乳 936ml
M,2025/04/01 19:13,89398413,屈臣氏,NX98597695,458
D,NX98597695,201,牙膏 兩入
D,NX98597695,257,沐浴乳
M,2025/04/02 07:34,22555003,全家便利商店,BR02225125,66
D,BR02225125,66,關東煮 白蘿蔔
M,2025/04/02 19:08,84149972,康是美,KB67785261,456
D,KB67785261,456,保濕乳液
M,2025/04/03 07:51,03707901,台灣中油,WM75285096,1466
D,WM75285096,303,洗車 精緻
D,WM75285096,344,洗車 精緻
D,WM75285096,302,95無鉛汽油 25公升
D,WM75285096,517,台北到台中 標準車廂
M,2025/04/04 06:22,20005891,來來超商,FV40990155,77
D,FV40990155,77,起司熱狗堡
M,2025/04/05 12:30,89398402,7-ELEVEN,PP63081260,94
D,PP63081260,42,維力炸醬麵
D,PP63081260,52,國民便當
M,2025/04/05 12:33,20000411,大苑子,BH94892306,60
D,BH94892306,25,珍珠奶茶 大
D,BH94892306,35,炸雞三塊
M,2025/04/05 22:32,86517048,萊爾富便利商店,SG18994188,51
D,SG18994188,51,國民便當
M,2025/04/06 15:00,89398402,7-ELEVEN,JT78314646,133
D,JT78314646,76,關東煮 白蘿蔔
D,JT78314646,57,關東煮 白蘿蔔
M,2025/04/06 15:40,22555003,全家便利商店,YY06334338,126
D,YY06334338,79,關東煮 白蘿蔔
D,YY06334338,47,維力炸醬麵
M,2025/04/07 09:02,24707801,蝦皮購物,XG94403634,304
D,XG94403634,304,無線滑鼠
M,2025/04/07 10:23,89398402,7-ELEVEN,JC16876026,96
D,JC16876026,96,起司熱狗堡
M,2025/04/07 12:38,84149961,星巴克,MR29472218,146
D,MR29472218,75,玉米濃湯
D,MR29472218,71,起司漢堡
M,2025/04/07 17:42,84149961,星巴克,KG25899589,163
D,KG25899589,163,蔬菜蛋餅
M,2025/04/08 15:48,16729745,悠遊卡自動加值,AR40119585,486
D,AR40119585,486,92無鉛汽油 30公升
M,2025/04/08 18:34,96979933,全聯福利中心,EP20674132,511
D,EP20674132,300,沙拉油 2L
D,EP20674132,211,林鳳營鮮乳
M,2025/04/10 15:45,54173123,寶雅,BB00235280,568
D,BB00235280,568,護手霜
M,2025/04/10 17:10,89398402,7-ELEVEN,SX40108201,64
D,SX40108201,64,冰美式 中杯
M,2025/04/11 11:54,89398402,7-ELEVEN,GL09792368,127
D,GL09792368,127,拿鐵 大杯
M,2025/04/11 20:12,22555003,全家便利商店,XR43238000,124
D,XR43238000,46,起司熱狗堡
D,XR43238000,78,舒潔面紙
M,2025/04/13 08:16,16729745,悠遊卡自動加值,WM63110336,505
D,WM63110336,505,92無鉛汽油 30公升
M,2025/04/13 18:16,80003429,美廉社,TM56304674,564
D,TM56304674,349,雞胸肉 300g
D,TM56304674,215,五月花衛生紙
M,2025/04/15 07:27,89398402,7-ELEVEN,LM88946064,234
D,LM88946064,148,舒潔面紙
D,LM88946064,86,無糖豆漿
M,2025/04/15 12:37,11117051,頂呱呱,BT28020360,264
D,BT28020360,170,牛肉麵
D,BT28020360,94,滷肉飯
M,2025/04/16 06:52,96979933,全聯福利中心,JX68589227,813
D,JX68589227,813,雞胸肉 300g
M,2025/04/16 19:17,96979933,全聯福利中心,WH56682676,1372
D,WH56682676,835,沙拉油 2L
D,WH56682676,537,雞胸肉 300g
M,2025/04/16 23:53,25017492,50嵐,YU96733229,47
D,YU96733229,20,牛肉麵
D,YU96733229,27,鍋貼 十個
M,2025/04/17 18:33,22555003,全家便利商店,HQ18594154,167
D,HQ18594154,58,礦泉水 600ml
D,HQ18594154,109,拿鐵 大杯
M,2025/04/18 11:23,89398402,7-ELEVEN,GL80698916,170
D,GL80698916,170,維力炸醬麵
M,2025/04/18 18:00,11768704,摩斯漢堡,BM23618147,202
D,BM23618147,93,牛肉麵
D,BM23618147,109,起司漢堡
M,2025/04/18 19:01,97162640,家樂福,GQ62314457,1102
D,GQ62314457,374,罐頭鮪魚
D,GQ62314457,397,罐頭鮪魚
D,GQ62314457,331,洗髮精
M,2025/04/19 07:32,22555003,全家便利商店,JD47972621,174
D,JD47972621,174,關東煮 白蘿蔔
M,2025/04/19 10:40,27746179,清心福全,FK21310915,63
D,FK21310915,26,牛肉麵
D,FK21310915,37,大杯拿鐵
