"財政部電子發票整合服務平台 消費明細下載"
表頭=M,發票日期,商店統編,商店店名,發票號碼,總金額
表身=D,發票號碼,小計,品名
M,2024/01/11 08:01,89398402,7-ELEVEN,SW95648511,393
D,SW95648511,188,拿鐵 大杯
D,SW95648511,205,起司熱狗堡
M,2024/01/11 12:16,89398402,7-ELEVEN,RW75931999,72
D,RW75931999,72,義美小泡芙
M,2024/01/11 13:30,03707901,台灣中油,ZA44413396,759
D,ZA44413396,759,92無鉛汽油 30公升
M,2024/01/11 19:10,22555003,全家便利商店,WC38938302,87
D,WC38938302,37,御飯糰 鮪魚
D,WC38938302,50,思樂冰
M,2024/01/15 09:47,89398402,7-ELEVEN,KA73728094,32
D,KA73728094,32,關東煮 白蘿蔔
M,2024/01/15 15:42,89398402,7-ELEVEN,NR81058295,62
D,NR81058295,62,中杯美式
M,2024/01/16 15:51,97162640,家樂福,SC72519285,927
D,SC72519285,265,義大利麵 500g
D,SC72519285,370,罐頭鮪魚
D,SC72519285,292,蘋果 四入
M,2024/01/16 17:58,89398402,7-ELEVEN,RP57149885,55
D,RP57149885,27,中杯美式
D,RP57149885,28,御握 鮭魚
M,2024/01/17 19:06,89398402,7-ELEVEN,FF17810000,141
D,FF17810000,59,關東煮 白蘿蔔
D,FF17810000,82,國民便當
M,2024/01/18 07:00,53016675,八方雲集,EE53831953,225
D,EE53831953,225,味噌湯
M,2024/01/18 09:22,22555003,全家便利商店,TW67817601,238
D,TW67817601,238,中杯美式
M,2024/01/18 20:46,89398402,7-ELEVEN,FH19859785,44
D,FH19859785,16,關東煮 白蘿蔔
D,FH19859785,28,御便當 雞腿
M,2024/01/18 21:18,89398402,7-ELEVEN,CX04365878,235
D,CX04365878,235,御握 鮭魚
M,2024/01/20 11:48,23091152,鬍鬚張,TL49632072,172
D,TL49632072,107,炸雞三塊
D,TL49632072,65,雞腿便當
M,2024/01/20 13:22,20000959,阿宗麵線,QZ19610150,66
D,QZ19610150,39,起司漢堡
D,QZ19610150,27,玉米濃湯
M,2024/01/20 14:32,22555003,全家便利商店,MH00752973,175
D,MH00752973,175,義美小泡芙
M,2024/01/21 19:07,25017492,50嵐,EX49969227,57
D,EX49969227,57,雞腿便當
M,2024/01/22 11:11,89398402,7-ELEVEN,SS71184129,294
D,SS71184129,159,光泉鮮乳 936ml
D,SS71184129,135,中杯美式
M,2024/01/22 21:23,96979933,全聯福利中心,EW15867321,1725
D,EW15867321,745,沙拉油 2L
D,EW15867321,432,罐頭鮪魚
D,EW15867321,548,五月花衛生紙
M,2024/01/22 21:52,24707801,蝦皮購物,VK53453964,227
D,VK53453964,227,運動鞋
M,2024/01/22 22:40,89398402,7-ELEVEN,KQ91738785,227
D,KQ91738785,96,維力炸醬麵
D,KQ91738785,131,義美小泡芙
M,2024/01/23 08:45,11117051,頂呱呱,VG22520424,230
D,VG22520424,230,薯條 中
M,2024/01/24 12:19,96979933,全聯福利中心,PM66284562,848
D,PM66284562,390,豬絞肉
D,PM66284562,458,香蕉
M,2024/01/24 17:47,96979934,中華電信,LB16890809,717
D,LB16890809,322,網路月租費
D,LB16890809,395,國際漫遊加購
M,2024/01/24 19:50,89398402,7-ELEVEN,ZP33833743,35
D,ZP33833743,35,大熱狗
M,2024/01/25 17:12,16729745,悠遊卡自動加值,NS27548111,464
D,NS27548111,215,洗車 精緻
D,NS27548111,249,台北到台中 標準車廂
M,2024/01/26 17:36,20000000,阜杭豆漿,QQ04347751,154
D,QQ04347751,154,蔬菜蛋餅
M,2024/01/26 18:31,11768704,摩斯漢堡,DF92168516,171
D,DF92168516,171,滷肉飯
M,2024/01/28 06:08,28486815,台灣大車隊,RQ78773725,293
D,RQ78773725,293,台北到台中 標準車廂
M,2024/01/29 11:22,96979933,全聯福利中心,EK01318765,600
D,EK01318765,600,罐頭鮪魚
M,2024/01/29 13:43,97162640,家樂福,QD43560356,551
D,QD43560356,551,高麗菜
M,2024/01/29 16:34,22555003,全家便利商店,UN06163477,161
D,UN06163477,161,關東煮 白蘿蔔
M,2024/01/30 16:07,89398402,7-ELEVEN,RZ96189477,54
D,RZ96189477,26,義美小泡芙
D,RZ96189477,28,維力炸醬麵
M,2024/01/30 16:58,11768704,摩斯漢堡,XA22362527,227
D,XA22362527,227,雞腿便當
M,2024/02/01 08:17,89398402,7-ELEVEN,DP60903724,50
D,DP60903724,21,維力炸醬麵
D,DP60903724,29,冰美式 中杯
M,2024/02/01 15:03,96979933,全聯福利中心,CT86370342,660
D,CT86370342,330,白米 3kg
D,CT86370342,330,雞胸肉 300g
M,2024/02/02 10:00,16606105,大潤發,AT80964583,805
D,AT80964583,310,義大利麵 500g
D,AT80964583,495,沙拉油 2L
M,2024/02/02 12:45,89398402,7-ELEVEN,DA02360986,62
D,DA02360986,24,御握 鮭魚
D,DA02360986,38,思樂冰
M,2024/02/02 16:01,27746180,光南大批發,CT23625287,402
D,CT23625287,214,收納籃
D,CT23625287,188,插座延長線
M,2024/02/02 19:47,89398402,7-ELEVEN,TU53868906,57
D,TU53868906,57,無糖豆漿
M,2024/02/04 08:25,20003973,台灣自來水公司,HH24106952,420
D,HH24106952,264,水費 兩個月
D,HH24106952,156,水費 兩個月
M,2024/02/04 09:26,89398402,7-ELEVEN,JB20821519,19
D,JB20821519,19,御便當 雞腿
M,2024/02/06 19:43,96979933,全聯福利中心,GF68829269,657
D,GF68829269,424,洗衣精 補充包
D,GF68829269,233,林鳳營鮮乳
M,2024/02/07 22:00,89398402,7-ELEVEN,VE29498805,40
D,VE29498805,24,御飯糰 鮪魚
D,VE29498805,16,義美小泡芙
M,2024/02/09 18:10,20005891,來來超商,ZH72322850,43
D,ZH72322850,43,義美小泡芙
M,2024/02/10 11:07,03731301,台灣鐵路管理局,MB53173793,502
D,MB53173793,502,悠遊卡加值
M,2024/02/11 20:06,54173123,寶雅,KZ28210184,718
D,KZ28210184,336,衛生棉 夜用
D,KZ28210184,382,感冒熱飲
M,2024/02/12 14:01,22555003,全家便利商店,WG98414767,76
D,WG98414767,76,中杯美式
M,2024/02/12 14:42,89398413,屈臣氏,PB49295986,794
D,PB49295986,461,牙膏 兩入
D,PB49295986,333,口罩 五十入
M,2024/02/12 21:44,20004932,和欣客運,HX61998896,598
D,HX61998896,598,台北到台中 標準車廂
M,2024/02/13 08:49,89398402,7-ELEVEN,SE85490944,137
D,SE85490944,52,義美小泡芙
D,SE85490944,85,拿鐵 大杯
M,2024/02/13 12:17,22555003,全家便利商店,FU79064763,55
D,FU79064763,32,舒潔面紙
D,FU79064763,23,御握 鮭魚
M,2024/02/13 17:40,20002055,燦坤3C,LJ40653110,3324
D,LJ40653110,627,行動電源
D,LJ40653110,1007,螢幕支架
D,LJ40653110,966,行動電源
D,LJ40653110,724,無線耳機
M,2024/02/14 12:18,16606106,PChome線上購物,EL55944357,3024
D,EL55944357,1384,空氣清淨機濾網
D,EL55944357,1640,筆記本
M,2024/02/14 15:37,89398402,7-ELEVEN,TS60202254,43
D,TS60202254,43,御便當 雞腿
M,2024/02/14 20:11,22555003,全家便利商店,YF84855666,195
D,YF84855666,195,無糖豆漿
M,2024/02/15 13:09,84149961,星巴克,NU63494943,131
D,NU63494943,77,定食 鮭魚
D,NU63494943,54,玉米濃湯
M,2024/02/15 16:07,22555003,全家便利商店,LA77386822,191
D,LA77386822,78,關東煮 綜合
D,LA77386822,113,思樂冰
M,2024/02/15 17:41,27746180,光南大批發,XJ54900271,213
D,XJ54900271,213,塑膠衣架 十入
M,2024/02/15 20:53,24707801,蝦皮購物,SN52410653,964
D,SN52410653,311,無線滑鼠
D,SN52410653,297,空氣清淨機濾網
D,SN52410653,356,筆記本
M,2024/02/16 08:12,89398402,7-ELEVEN,CH49688179,57
D,CH49688179,32,中杯美式
D,CH49688179,25,舒潔面紙
M,2024/02/16 11:11,20004384,維康醫療用品,ZV87078368,579
D,ZV87078368,579,血壓計
M,2024/02/16 18:06,89398402,7-ELEVEN,YH43488399,21
D,YH43488399,21,國民便當
M,2024/02/17 16:12,03707901,台灣中油,VR85848718,1023
D,VR85848718,316,洗車 精緻
D,VR85848718,318,自強號 台北到花蓮
D,VR85848718,389,洗車 精緻
M,2024/02/17 17:23,22555003,全家便利商店,QV06903462,78
D,QV06903462,38,御便當 雞腿
D,QV06903462,40,冰美式 中杯
M,2024/02/17 19:39,53016675,八方雲集,NA01992867,179
D,NA01992867,72,炸雞三塊
D,NA01992867,107,手沖耶加雪菲
M,2024/02/18 20:43,89398402,7-ELEVEN,RP31583935,65
D,RP31583935,65,無糖豆漿
M,2024/02/19 17:28,96947549,momo購物網,XL95555234,170
D,XL95555234,170,空氣清淨機濾網
M,2024/02/19 18:25,00000015,麥當勞,MR13766701,66
D,MR13766701,66,大杯拿鐵
M,2024/02/20 12:40,25017492,50嵐,ZE39862636,97
D,ZE39862636,97,牛肉麵
M,2024/02/20 16:49,89398402,7-ELEVEN,AR41493086,46
D,AR41493086,46,大熱狗
M,2024/02/21 11:21,96979933,全聯福利中心,WX07032540,242
D,WX07032540,242,蘋果 四入
M,2024/02/21 11:55,80003429,美廉社,DY89568539,1243
D,DY89568539,319,林鳳營鮮乳
D,DY89568539,335,洗衣精 補充包
D,DY89568539,266,冷凍水餃
D,DY89568539,323,五月花衛生紙
M,2024/02/21 12:41,84149972,康是美,GR48623641,364
D,GR48623641,187,衛生棉 夜用
D,GR48623641,177,保濕乳液
M,2024/02/22 09:21,03707901,台灣中油,TW86174761,563
D,TW86174761,563,柴油 40公升
M,2024/02/22 19:23,89398402,7-ELEVEN,ES01330510,157
D,ES01330510,157,思樂冰
M,2024/02/23 13:04,03707901,台灣中油,EP27383086,779
D,EP27383086,273,自強號 台北到花蓮
D,EP27383086,506,洗車 精緻
M,2024/02/24 06:37,23091152,鬍鬚張,HG99383811,110
D,HG99383811,65,牛肉麵
D,HG99383811,45,起司漢堡
M,2024/02/24 12:47,54313580,拉亞漢堡,BM20350604,99
D,BM20350604,38,味噌湯
D,BM20350604,61,牛肉麵
M,2024/02/24 18:34,70766330,OK MART,UN38643851,69
D,UN38643851,33,拿鐵 大杯
D,UN38643851,36,關東煮 白蘿蔔
M,2024/02/25 16:37,89398402,7-ELEVEN,LM76941033,107
D,LM76941033,107,光泉鮮乳 936ml
M,2024/02/25 17:44,97162640,家樂福,JE97519434,1204
D,JE97519434,325,冷凍水餃
D,JE97519434,292,雞胸肉 300g
D,JE97519434,243,罐頭鮪魚
D,JE97519434,344,洗髮精
M,2024/02/25 17:46,22555003,全家便利商店,EY96080938,122
D,EY96080938,122,光泉鮮乳 936ml
M,2024/02/26 21:51,86517048,萊爾富便利商店,QK13082056,16
D,QK13082056,6,御便當 雞腿
D,QK13082056,10,國民便當
M,2024/02/27 17:54,16729745,悠遊卡自動加值,DX04222878,467
D,DX04222878,244,車資
D,DX04222878,223,自強號 台北到花蓮
M,2024/02/27 18:45,54381286,路易莎咖啡,WV06910747,90
D,WV06910747,90,玉米濃湯
M,2024/02/28 07:04,03707901,台灣中油,SD83675941,1003
D,SD83675941,370,車資
D,SD83675941,378,自強號 台北到花蓮
D,SD83675941,255,自強號 台北到花蓮
M,2024/02/29 08:39,20004247,佳醫美人,RE75167498,1767
D,RE75167498,1064,臉部護理課程
D,RE75167498,703,臉部護理課程
M,2024/02/29 19:56,96979934,中華電信,UU63218366,750
D,UU63218366,347,網路月租費
D,UU63218366,403,行動電話月租費
M,2024/03/02 14:56,89398413,屈臣氏,FR57288351,1068
D,FR57288351,306,口罩 五十入
D,FR57288351,219,護手霜
D,FR57288351,191,隱形眼鏡藥水
D,FR57288351,352,沐浴乳
M,2024/03/02 17:45,22555003,全家便利商店,MG69143104,181
D,MG69143104,81,涼麵
D,MG69143104,100,無糖豆漿
M,2024/03/02 18:15,54313581,小北百貨,DY87418048,76
D,DY87418048,40,塑膠衣架 十入
D,DY87418048,36,文具組
M,2024/03/03 16:28,20000137,天津蔥抓餅,KC00881292,82
D,KC00881292,82,手沖耶加雪菲
M,2024/03/04 12:22,28486815,台灣大車隊,TN76970351,200
D,TN76970351,104,悠遊卡加值
D,TN76970351,96,柴油 40公升
M,2024/03/04 19:12,03707901,台灣中油,PT50152868,879
D,PT50152868,879,柴油 40公升
M,2024/03/05 19:14,22555003,全家便利商店,MD93599212,47
D,MD93599212,20,舒潔面紙
D,MD93599212,27,國民便當
M,2024/03/06 13:23,84149972,康是美,UB05543889,223
D,UB05543889,112,洗髮精 750ml
D,UB05543889,111,牙膏 兩入
M,2024/03/06 16:35,89398402,7-ELEVEN,FY51208638,164
D,FY51208638,96,御握 鮭魚
D,FY51208638,68,拿鐵 大杯
M,2024/03/06 17:07,96979933,全聯福利中心,PX94426145,795
D,PX94426145,397,雞胸肉 300g
D,PX94426145,398,雞胸肉 300g
M,2024/03/07 18:17,89398413,屈臣氏,UV14913039,1021
D,UV14913039,343,牙膏 兩入
D,UV14913039,416,牙膏 兩入
D,UV14913039,262,衛生棉 夜用
M,2024/03/08 08:43,89398402,7-ELEVEN,NC21494813,43
D,NC21494813,16,御飯糰 鮪魚
D,NC21494813,27,涼麵
M,2024/03/09 06:04,28486815,台灣大車隊,FV42526467,339
D,FV42526467,339,台北到台中 標準車廂
M,2024/03/09 15:13,89398402,7-ELEVEN,FE76445841,63
D,FE76445841,29,大熱狗
D,FE76445841,34,中杯美式
M,2024/03/10 19:23,84149972,康是美,CH87225114,26
D,CH87225114,26,隱形眼鏡藥水
M,2024/03/11 10:32,89398413,屈臣氏,TW83176867,308
D,TW83176867,308,護手霜
M,2024/03/13 13:31,89398402,7-ELEVEN,AS34291462,15
D,AS34291462,7,思樂冰
D,AS34291462,8,礦泉水 600ml
M,2024/03/13 17:45,54381286,路易莎咖啡,TX45348375,50
D,TX45348375,50,定食 鮭魚
M,2024/03/13 18:22,12801119,三商巧福,RE96418570,79
D,RE96418570,79,珍珠奶茶 大
M,2024/03/13 19:45,24707801,蝦皮購物,SP76024928,128
D,SP76024928,68,USB-C 傳輸線
D,SP76024928,60,不鏽鋼保溫瓶
M,2024/03/13 22:24,22555003,全家便利商店,ND51602532,38
D,ND51602532,18,思樂冰
D,ND51602532,20,涼麵
M,2024/03/14 20:02,89398402,7-ELEVEN,JB44550708,118
D,JB44550708,65,中杯美式
D,JB44550708,53,御飯糰 鮪魚
M,2024/03/14 20:03,20000822,早安美芝城,ZY28250849,89
D,ZY28250849,89,蔬菜蛋餅
M,2024/03/14 20:08,54381287,生活市集,UL39330288,846
D,UL39330288,472,咖啡豆 一磅
D,UL39330288,374,床包組 雙人
M,2024/03/16 12:56,89398402,7-ELEVEN,CN44675015,68
D,CN44675015,39,國民便當
D,CN44675015,29,御握 鮭魚
M,2024/03/17 18:36,03707901,台灣中油,QU04977542,992
D,QU04977542,264,車資
D,QU04977542,256,車資
D,QU04977542,234,95無鉛汽油 25公升
D,QU04977542,238,92無鉛汽油 30公升
M,2024/03/17 20:52,96979933,全聯福利中心,PA07544707,1112
D,PA07544707,343,高麗菜
D,PA07544707,207,高麗菜
D,PA07544707,332,洗衣精 補充包
D,PA07544707,230,蘋果 四入
M,2024/03/17 21:51,89398402,7-ELEVEN,UX43560281,165
D,UX43560281,68,無糖豆漿
D,UX43560281,97,冰美式 中杯
M,2024/03/18 13:37,20005343,台灣好行,UN99543017,170
D,UN99543017,170,92無鉛汽油 30公升
M,2024/03/19 08:00,22555003,全家便利商店,KH55569665,145
D,KH55569665,145,義美小泡芙
M,2024/03/19 12:55,89398402,7-ELEVEN,FL30195881,107
D,FL30195881,107,關東煮 白蘿蔔
M,2024/03/20 09:49,96979933,全聯福利中心,MG10206056,756
D,MG10206056,756,罐頭鮪魚
M,2024/03/20 10:51,96979933,全聯福利中心,PT06703607,589
D,PT06703607,242,香蕉
D,PT06703607,347,蘋果 四入
M,2024/03/22 13:14,89398402,7-ELEVEN,UX15624650,150
D,UX15624650,90,舒潔面紙
D,UX15624650,60,起司熱狗堡
M,2024/03/22 16:40,89398402,7-ELEVEN,LV70164928,112
D,LV70164928,39,國民便當
D,LV70164928,73,義美小泡芙
M,2024/03/22 20:20,96979933,全聯福利中心,CC23217292,251
D,CC23217292,251,豬絞肉
M,2024/03/22 21:14,89398402,7-ELEVEN,CS59906673,29
D,CS59906673,29,御便當 雞腿
M,2024/03/24 15:52,27746179,清心福全,LX90941670,53
D,LX90941670,31,味噌湯
D,LX90941670,22,炸雞三塊
M,2024/03/25 15:59,22555003,全家便利商店,EN59099217,19
D,EN59099217,8,御飯糰 鮪魚
D,EN59099217,11,大熱狗
M,2024/03/26 11:25,22555003,全家便利商店,LC63186285,57
D,LC63186285,57,茶葉蛋
M,2024/03/26 12:52,11117051,頂呱呱,PN41806047,300
D,PN41806047,162,珍珠奶茶 大
D,PN41806047,138,紅茶 大
M,2024/03/26 16:42,54173123,寶雅,SL47495757,370
D,SL47495757,370,沐浴乳
M,2024/03/26 22:17,89398402,7-ELEVEN,KZ03959875,50
D,KZ03959875,50,大熱狗
M,2024/03/27 17:07,53016675,八方雲集,AP10552780,107
D,AP10552780,107,大杯拿鐵
M,2024/03/29 07:39,22555003,全家便利商店,WK62565611,49
D,WK62565611,26,維力炸醬麵
D,WK62565611,23,拿鐵 大杯
M,2024/03/29 07:41,25017492,50嵐,VS98268303,85
D,VS98268303,85,味噌湯
M,2024/03/29 09:34,89398402,7-ELEVEN,BB24030303,112
D,BB24030303,46,維力炸醬麵
D,BB24030303,66,礦泉水 600ml
M,2024/03/30 08:03,84149961,星巴克,ZB25878221,248
D,ZB25878221,248,味噌湯
M,2024/03/30 13:09,80003429,美廉社,PC29231714,666
D,PC29231714,666,義大利麵 500g
M,2024/03/30 13:37,89398402,7-ELEVEN,FS63752156,60
D,FS63752156,34,茶葉蛋
D,FS63752156,26,中杯美式
M,2024/03/31 09:33,03707901,台灣中油,ML06724117,773
D,ML06724117,773,悠遊卡加值
M,2024/03/31 14:12,03731301,台灣鐵路管理局,AR50170224,328
D,AR50170224,328,車資
M,2024/03/31 20:09,89398402,7-ELEVEN,BD55983891,94
D,BD55983891,41,無糖豆漿
D,BD55983891,53,涼麵
M,2024/04/01 08:09,89398402,7-ELEVEN,UB97792029,104
D,UB97792029,60,拿鐵 大杯
D,UB97792029,44,關東煮 白蘿蔔
M,2024/04/01 16:21,70808336,博客來,WG52385841,915
D,WG52385841,564,文具組
D,WG52385841,351,文具組
M,2024/04/01 16:31,20003562,全家福鞋店,ZW09884428,788
D,ZW09884428,788,休閒鞋 一雙
M,2024/04/01 19:48,54313580,拉亞漢堡,FC19005933,64
D,FC19005933,64,定食 鮭魚
M,2024/04/03 07:00,28486815,台灣大車隊,BR57167921,291
D,BR57167921,291,自強號 台北到花蓮
M,2024/04/03 12:31,54381286,路易莎咖啡,QX66918986,77
D,QX66918986,35,定食 鮭魚
D,QX66918986,42,炸雞三塊
M,2024/04/03 19:06,54313581,小北百貨,MT38222708,738
D,MT38222708,284,掃把組
D,MT38222708,454,塑膠衣架 十入
M,2024/04/04 10:50,96979933,全聯福利中心,WM21442121,575
D,WM21442121,575,五月花衛生紙
M,2024/04/04 15:20,89398402,7-ELEVEN,KE69867975,58
D,KE69867975,33,御飯糰 鮪魚
D,KE69867975,25,光泉鮮乳 936ml
M,2024/04/06 11:06,96979933,全聯福利中心,RN12099441,269
D,RN12099441,137,白米 3kg
D,RN12099441,132,白米 3kg
M,2024/04/06 12:22,54381286,路易莎咖啡,UE75553279,191
D,UE75553279,79,牛肉麵
D,UE75553279,112,玉米濃湯
M,2024/04/06 18:02,96979933,全聯福利中心,QF14129709,304
D,QF14129709,304,洗衣精 補充包
M,2024/04/06 21:46,89398402,7-ELEVEN,CN63138330,48
D,CN63138330,22,維力炸醬麵
D,CN63138330,26,舒潔面紙
M,2024/04/07 07:50,22555003,全家便利商店,VJ31339500,43
D,VJ31339500,43,維力炸醬麵
M,2024/04/07 16:23,84149972,康是美,MJ50073684,96
D,MJ50073684,96,衛生棉 夜用
M,2024/04/08 12:31,70766330,OK MART,QA13802859,107
D,QA13802859,54,御飯糰 鮪魚
D,QA13802859,53,礦泉水 600ml
M,2024/04/09 15:59,16729745,悠遊卡自動加值,DY31046631,476
D,DY31046631,476,洗車 精緻
M,2024/04/09 16:06,12801119,三商巧福,SE39467646,192
D,SE39467646,192,牛肉麵
M,2024/04/09 20:49,54381287,生活市集,VU27719194,235
D,VU27719194,91,不鏽鋼保溫瓶
D,VU27719194,144,床包組 雙人
M,2024/04/10 23:10,89398402,7-ELEVEN,WE12217192,33
D,WE12217192,14,御便當 雞腿
D,WE12217192,19,義美小泡芙
M,2024/04/11 18:41,20001233,龜記茗品,DZ78827098,56
D,DZ78827098,20,鍋貼 十個
D,DZ78827098,36,手沖耶加雪菲
M,2024/04/12 11:38,16729745,悠遊卡自動加值,AQ63372640,469
D,AQ63372640,469,悠遊卡加值
M,2024/04/13 15:07,27746179,清心福全,QU28731118,40
D,QU28731118,19,大杯拿鐵
D,QU28731118,21,定食 鮭魚
M,2024/04/14 08:28,89398402,7-ELEVEN,HS27882188,86
D,HS27882188,86,茶葉蛋
M,2024/04/14 13:54,89398402,7-ELEVEN,JH33246328,19
D,JH33246328,19,御飯糰 鮪魚
M,2024/04/15 11:29,97162640,家樂福,YJ67580714,443
D,YJ67580714,244,豬絞肉
D,YJ67580714,199,五月花衛生紙
M,2024/04/15 12:04,84149972,康是美,EW58131974,530
D,EW58131974,530,感冒熱飲
M,2024/04/16 18:57,89398402,7-ELEVEN,LC14182463,35
D,LC14182463,16,關東煮 綜合
D,LC14182463,19,御飯糰 鮪魚
M,2024/04/17 20:14,54679932,藏壽司,VF43710058,395
D,VF43710058,395,蔬菜蛋餅
M,2024/04/18 10:14,96979933,全聯福利中心,AV30186197,1023
D,AV30186197,270,義大利麵 500g
D,AV30186197,254,罐頭鮪魚
D,AV30186197,288,白米 3kg
D,AV30186197,211,林鳳營鮮乳
M,2024/04/18 12:53,54313580,拉亞漢堡,YG11742225,82
D,YG11742225,47,滷肉飯
D,YG11742225,35,珍珠奶茶 大
M,2024/04/19 20:41,89398402,7-ELEVEN,RJ35102228,87
D,RJ35102228,87,涼麵
M,2024/04/20 09:58,20002192,全國電子,ZN59945769,1175
D,ZN59945769,678,除濕機濾網
D,ZN59945769,497,電風扇
M,2024/04/22 04:04,89398402,7-ELEVEN,FD80449173,96
D,FD80449173,96,涼麵
M,2024/04/22 08:26,00000015,麥當勞,RM45797665,183
D,RM45797665,70,大杯拿鐵
D,RM45797665,113,玉米濃湯
M,2024/04/22 20:33,89398402,7-ELEVEN,BT03009538,115
D,BT03009538,42,茶葉蛋
D,BT03009538,73,關東煮 綜合
M,2024/04/23 09:17,20005069,統聯客運,VZ88080359,294
D,VZ88080359,121,悠遊卡加值
D,VZ88080359,173,悠遊卡加值
M,2024/04/23 13:18,22555003,全家便利商店,MG37781749,85
D,MG37781749,39,思樂冰
D,MG37781749,46,光泉鮮乳 936ml
M,2024/04/23 14:50,03707901,台灣中油,KM08020137,459
D,KM08020137,459,車資
M,2024/04/23 16:34,54679932,藏壽司,ZS31732780,681
D,ZS31732780,681,手沖耶加雪菲
M,2024/04/23 17:43,84149972,康是美,KE52552378,197
D,KE52552378,74,牙膏 兩入
D,KE52552378,123,衛生棉 夜用
M,2024/04/23 21:48,89398402,7-ELEVEN,KM39498764,59
D,KM39498764,29,維力炸醬麵
D,KM39498764,30,維力炸醬麵
M,2024/04/24 20:30,89398402,7-ELEVEN,PB24858415,78
D,PB24858415,78,義美小泡芙
M,2024/04/25 16:14,27746180,光南大批發,ZE99025069,448
D,ZE99025069,220,塑膠衣架 十入
D,ZE99025069,228,插座延長線
M,2024/04/25 19:16,16095452,杏一醫療用品,SH28594692,969
D,SH28594692,257,保濕乳液
D,SH28594692,204,牙膏 兩入
D,SH28594692,239,隱形眼鏡藥水
D,SH28594692,269,衛生棉 夜用
M,2024/04/26 21:27,23091152,鬍鬚張,SK03049965,168
D,SK03049965,168,定食 鮭魚
M,2024/04/26 22:58,89398402,7-ELEVEN,NX92321853,146
D,NX92321853,55,大熱狗
D,NX92321853,91,思樂冰
M,2024/04/27 15:01,86517048,萊爾富便利商店,UX97809414,79
D,UX97809414,47,舒潔面紙
D,UX97809414,32,拿鐵 大杯
M,2024/04/27 17:13,96979933,全聯福利中心,TC42153543,384
D,TC42153543,384,洗髮精
M,2024/04/27 17:49,16729745,悠遊卡自動加值,GJ90098514,471
D,GJ90098514,303,台北到台中 標準車廂
D,GJ90098514,168,自強號 台北到花蓮
M,2024/04/27 20:07,96947549,momo購物網,TK84246185,960
D,TK84246185,315,筆記本
D,TK84246185,306,USB-C 傳輸線
D,TK84246185,339,收納箱 三入
M,2024/04/28 08:35,54679932,藏壽司,WN57199793,1241
D,WN57199793,406,玉米濃湯
D,WN57199793,494,珍珠奶茶 大
D,WN57199793,341,薯條 中
M,2024/04/29 07:40,03707901,台灣中油,WT90902911,933
D,WT90902911,299,悠遊卡加值
D,WT90902911,315,台北到台中 標準車廂
D,WT90902911,319,洗車 精緻
M,2024/04/29 11:05,89398402,7-ELEVEN,MX41243884,76
D,MX41243884,76,關東煮 綜合
M,2024/05/01 10:57,16606105,大潤發,HT84761059,2251
D,HT84761059,587,高麗菜
D,HT84761059,583,洗衣精 補充包
D,HT84761059,486,林鳳營鮮乳
D,HT84761059,595,沙拉油 2L
M,2024/05/01 20:54,80003429,美廉社,XS29008153,457
D,XS29008153,225,沙拉油 2L
